epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,53.1451,1.51789,2.56115,1.60712,0.75296,0.12077,0.29176,0.17093,1.30134,2.85618,1.50428,0.0005001,0.0005001,0.0005001
2,105.693,1.33513,1.72675,1.46497,0.47662,0.3429,0.30576,0.14777,1.62022,2.53418,1.89875,0.000991702,0.000991702,0.000991702
3,157.202,1.43002,1.64954,1.47071,0.30491,0.30638,0.20054,0.08509,1.90158,5.04426,2.21367,0.00145772,0.00145772,0.00145772
4,210.317,1.3973,1.58874,1.45906,0.589,0.52638,0.56279,0.31374,1.4582,2.29421,1.6982,0.00154323,0.00154323,0.00154323
5,264.012,1.39618,1.56859,1.46857,0.48832,0.48957,0.31602,0.15342,1.82149,2.5213,1.88066,0.00150197,0.00150197,0.00150197
6,317.863,1.38411,1.48196,1.44765,0.54336,0.41188,0.45275,0.23789,1.73532,2.54228,2.00118,0.00146071,0.00146071,0.00146071
7,370.05,1.35743,1.40371,1.46258,0.63447,0.53884,0.57101,0.30351,1.46479,2.11001,1.68878,0.00141945,0.00141945,0.00141945
8,421.06,1.39623,1.37599,1.41887,0.46211,0.54287,0.4985,0.27923,1.59459,2.20129,1.68813,0.00137819,0.00137819,0.00137819
9,472.072,1.34798,1.30706,1.4087,0.47115,0.63304,0.491,0.27041,1.46771,1.71084,1.57757,0.00133693,0.00133693,0.00133693
10,523.642,1.30468,1.31339,1.39399,0.64332,0.55672,0.58848,0.3109,1.48484,1.81377,1.58983,0.00129568,0.00129568,0.00129568
11,574.763,1.29226,1.2633,1.39081,0.67107,0.47121,0.53304,0.30676,1.33183,1.72018,1.46495,0.00125442,0.00125442,0.00125442
12,627.014,1.28162,1.21834,1.37232,0.68694,0.63849,0.65629,0.3882,1.2756,1.55802,1.47278,0.00121316,0.00121316,0.00121316
13,679.42,1.2947,1.22234,1.37749,0.70313,0.65813,0.69511,0.42944,1.22716,1.32908,1.48109,0.0011719,0.0011719,0.0011719
14,731.093,1.25126,1.17212,1.34545,0.81078,0.70648,0.74521,0.4679,1.18019,1.19221,1.35985,0.00113064,0.00113064,0.00113064
15,783.099,1.25664,1.10134,1.35144,0.69208,0.72754,0.71639,0.38695,1.50363,1.31882,1.62187,0.00108938,0.00108938,0.00108938
16,834.627,1.24862,1.12692,1.3574,0.78074,0.73339,0.73437,0.45014,1.22849,1.1174,1.42056,0.00104813,0.00104813,0.00104813
17,886.28,1.24956,1.1328,1.35012,0.6826,0.6958,0.67028,0.35703,1.37116,1.41192,1.52214,0.00100687,0.00100687,0.00100687
18,938.142,1.18419,1.06325,1.30934,0.7471,0.68821,0.7279,0.44448,1.20111,1.26664,1.40482,0.00096561,0.00096561,0.00096561
19,990.033,1.19774,1.0914,1.32573,0.73362,0.74345,0.73475,0.46878,1.20339,1.11257,1.41603,0.000924352,0.000924352,0.000924352
