epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,84.7626,1.45996,2.58491,1.6386,1,0.0429,0.24606,0.13327,1.41174,3.0843,1.73569,0.0005001,0.0005001,0.0005001
2,164.696,1.31381,1.80123,1.52244,0.44833,0.34087,0.30295,0.15467,1.60725,2.80129,2.17499,0.00100429,0.00100429,0.00100429
3,246.018,1.39164,1.72679,1.53717,0.42315,0.27841,0.19368,0.0752,2.09628,3.70005,2.75973,0.00149568,0.00149568,0.00149568
4,326.901,1.44981,1.6817,1.55561,0.21921,0.63422,0.2823,0.12784,1.76145,11.5983,2.26331,0.00160511,0.00160511,0.00160511
5,406.959,1.44058,1.62009,1.55614,0.46701,0.30986,0.2378,0.09309,2.04378,3.24547,2.24214,0.00158448,0.00158448,0.00158448
6,486.171,1.36741,1.49269,1.5068,0.57816,0.53026,0.572,0.30141,1.57154,2.10398,2.00787,0.00156385,0.00156385,0.00156385
7,564.897,1.40053,1.46233,1.55742,0.64887,0.58462,0.60406,0.33923,1.39364,1.80137,1.78028,0.00154323,0.00154323,0.00154323
8,652.278,1.40216,1.45504,1.51247,0.4753,0.62333,0.50005,0.25829,1.58407,2.17238,2.00725,0.0015226,0.0015226,0.0015226
9,732.133,1.37931,1.39997,1.51896,0.47263,0.5058,0.49769,0.26119,1.54433,2.06401,1.86833,0.00150197,0.00150197,0.00150197
10,809.907,1.3409,1.35351,1.48894,0.6425,0.62807,0.63593,0.32674,1.39364,1.82091,1.70395,0.00148134,0.00148134,0.00148134
11,889.413,1.28917,1.28854,1.47126,0.45233,0.46879,0.35997,0.17676,1.89638,2.59792,2.06009,0.00146071,0.00146071,0.00146071
12,976.491,1.32453,1.27386,1.46262,0.70993,0.60873,0.66035,0.35751,1.27475,1.582,1.60762,0.00144008,0.00144008,0.00144008
13,1060.57,1.30869,1.2785,1.47,0.7492,0.66194,0.68218,0.3528,1.50724,1.38151,1.92125,0.00141945,0.00141945,0.00141945
14,1142.67,1.30088,1.21928,1.44856,0.76262,0.68609,0.74934,0.46297,1.23576,1.2199,1.59049,0.00139882,0.00139882,0.00139882
15,1232.87,1.28776,1.13064,1.44765,0.71505,0.67681,0.70539,0.36295,1.58804,1.52287,1.88138,0.00137819,0.00137819,0.00137819
16,1320.67,1.30693,1.18025,1.48062,0.48692,0.55362,0.51895,0.27305,1.57681,1.77411,1.86731,0.00135756,0.00135756,0.00135756
17,1408.51,1.30163,1.21386,1.45987,0.68425,0.57609,0.55851,0.26962,1.47574,1.77067,1.80242,0.00133693,0.00133693,0.00133693
18,1498.24,1.21773,1.12032,1.38208,0.7471,0.64642,0.71882,0.43881,1.29626,1.19075,1.62804,0.0013163,0.0013163,0.0013163
19,1580.74,1.28667,1.15466,1.44093,0.77029,0.6993,0.76475,0.46884,1.43802,1.14771,1.82808,0.00129568,0.00129568,0.00129568
20,1668.29,1.29305,1.15702,1.44645,0.75144,0.62626,0.69106,0.40622,1.37214,1.27665,1.71966,0.00127505,0.00127505,0.00127505
21,1757.03,1.25112,1.08856,1.41404,0.75744,0.66385,0.69567,0.39017,1.28853,1.2614,1.63889,0.00125442,0.00125442,0.00125442
22,1846.63,1.22789,1.10519,1.4158,0.72994,0.67044,0.70338,0.44273,1.2407,1.15394,1.6459,0.00123379,0.00123379,0.00123379
23,1931.98,1.23524,1.05335,1.41415,0.79665,0.72938,0.76516,0.45968,1.33848,1.05185,1.62307,0.00121316,0.00121316,0.00121316
